Symptoms,frequency,similarity
alkalose,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
alopezie,"[1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",
ambidexterity,"[1, 1, 0, 1, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 1, 0, 0]",
amblyopie,"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
amenorrhoe,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
amnesie,"[1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
amyloidose,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
anaemie,"[2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
haemolytische anaemie,"[3, 0, 1, 0, 4, 0, 0, 2, 2, 0, 0, 1, 2, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1]",
autoimmunhaemolytische anaemie,"[4, 0, 1, 0, 4, 0, 0, 2, 3, 0, 0, 1, 4, 2, 2, 0, 0, 0, 1, 2, 2, 0, 0, 0, 1, 0, 1]",
megaloblastaere anaemie,"[5, 1, 0, 0, 5, 0, 1, 0, 1, 0, 0, 2, 2, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]",
angina pectoris,"[2, 0, 1, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 2, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]",
stenokardie,"[1, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
herzsch merzen,"[0, 0, 1, 0, 3, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 1]",
anorexia,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",
appetitlosigkeit,"[1, 0, 0, 0, 2, 0, 1, 0, 3, 0, 1, 1, 0, 0, 1, 2, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0]",
anosmia,"[2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
anurie,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",
angst,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
aortenaneurysma,"[3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 1, 0, 0]",
aphasie,"[2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
arachnodaktylie,"[3, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
arrhythmie,"[1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
arthralgia,"[3, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
arthritis,"[1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
ascites,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
aszites,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0]",
asthenia,"[2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
ataxia,"[3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",
ataxie,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",
vorhofflimmern,"[0, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0, 1, 2, 1, 2, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",
auskultation,"[2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0]",
autismus,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0]",
automatismen,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0]",
pain back,"[2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",
rueckenschmerzen,"[0, 0, 2, 0, 4, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 0]",
bartholinitis,"[1, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
harnblase,"[2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
blastenschub,"[1, 2, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0]",
Blasenbildung,"[1, 2, 0, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",
knochenmarkhyperplasie,"[2, 0, 1, 0, 3, 0, 0, 2, 1, 0, 2, 1, 1, 2, 1, 2, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
botulismus,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0]",
hirnoedem,"[0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
breech presentation,"[1, 1, 1, 0, 4, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 1, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 1]",
bronchospasmus,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 1, 0, 1, 3, 0, 1, 0, 0, 0, 0, 0, 0]",
bronchiektasen,"[1, 1, 1, 0, 2, 0, 0, 1, 1, 0, 1, 0, 0, 2, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
bronchitis,"[0, 1, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
bronchopneumonie,"[0, 1, 1, 0, 2, 0, 0, 1, 1, 0, 0, 0, 1, 3, 3, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",
bruit,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
heisshunger,"[0, 0, 0, 0, 2, 0, 1, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0]",
bursitis,"[0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]",
cachexia,"[2, 0, 2, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",
kachexie,"[1, 0, 1, 0, 2, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",
calcinosis cutis,"[1, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 1, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 1]",
candidose,"[1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
herzbeuteltamponade,"[2, 1, 0, 1, 4, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0]",
catatonia,"[3, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",
katatonia,"[3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",
phlegmone,"[0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
zerebellaere ataxie,"[3, 1, 0, 0, 6, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 1]",
tia,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
pain neck,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",
nackenschmerzen,"[1, 0, 2, 0, 3, 0, 0, 1, 0, 0, 1, 0, 1, 3, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",
zervizitis,"[0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 2, 0]",
cheilitis,"[0, 0, 1, 0, 1, 0, 0, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
pain chest,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",
thorax schmerz,"[1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 1, 1]",
pleuritic pain,"[1, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 1, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",
choke,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
gallensteine,"[1, 0, 0, 0, 3, 0, 1, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
cholelithiasis,"[1, 0, 1, 0, 1, 0, 0, 2, 3, 0, 0, 2, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
cholestase,"[1, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
cicatrisation,"[2, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
clonus,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",
trommelschlegelfinger,"[0, 0, 1, 0, 4, 1, 2, 1, 1, 0, 0, 3, 2, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
kolorektales karzinom,"[2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 3, 2, 1, 1, 3, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1]",
koma,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
schnupfen,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",
verwirrtheit,"[0, 0, 0, 0, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 1, 1, 0, 0, 0, 0]",
verwirrung,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 1, 1, 0, 0, 0, 0]",
makroglossie,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
konjunktivitis,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 2, 0, 0, 2, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0]",
constipation,"[1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
obstipation,"[1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
ulcus corneae,"[1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1]",
cough,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",
husten,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",
chronischer husten,"[0, 0, 2, 0, 2, 0, 0, 3, 1, 0, 0, 0, 0, 2, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 0, 1]",
cyanosis,"[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0]",
zyanose,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",
zystitis,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 1, 0]",
zytopenie,"[0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",
schluckbeschwerden,"[0, 1, 3, 1, 3, 0, 0, 2, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0]",
dysphagia,"[2, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
dehydratation,"[2, 0, 0, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0]",
exsikkose,"[0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",
wahn,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",
karies,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
depersonalisation,"[2, 0, 0, 1, 2, 0, 0, 0, 2, 0, 0, 1, 0, 2, 2, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
depression,"[0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
depressive verstimmung,"[0, 0, 0, 1, 4, 0, 1, 0, 2, 0, 0, 0, 2, 1, 0, 1, 0, 2, 3, 1, 1, 2, 0, 0, 0, 0, 1]",
erythrodermie,"[0, 0, 0, 1, 3, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
dermatitis herpetiformis,"[1, 0, 0, 1, 3, 1, 0, 1, 4, 0, 0, 0, 2, 0, 1, 1, 0, 3, 2, 3, 0, 0, 0, 0, 0, 0, 1]",
atopisches ekzem,"[1, 0, 1, 0, 3, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1]",
kontaktdermatitis,"[2, 0, 0, 1, 1, 0, 0, 0, 2, 0, 2, 0, 1, 1, 1, 0, 0, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0]",
stauungsekzem,"[1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 1, 0]",
dermatomyositis,"[1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0, 1, 2, 2, 0, 0, 0, 0, 1, 0, 0]",
dermatosklerose,"[1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
diarrhea,"[2, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
diarrhoe,"[1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
rachendiphtherie,"[1, 0, 1, 1, 3, 0, 0, 3, 2, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
diplopia,"[1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
doppel bildersehen,"[0, 1, 0, 2, 4, 0, 0, 1, 1, 0, 0, 2, 0, 1, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",
verbra uchskoa gulopathie,"[3, 1, 1, 0, 2, 0, 1, 2, 1, 0, 1, 1, 0, 0, 2, 1, 0, 2, 1, 1, 2, 1, 0, 0, 0, 0, 2]",
sensibilitaetsstoerungen der haut,"[2, 1, 0, 1, 5, 0, 1, 1, 3, 0, 0, 1, 0, 3, 1, 0, 0, 2, 4, 4, 2, 0, 0, 0, 0, 0, 2]",
diuretika,"[1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
dizziness,"[0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0]",
schwindel,"[0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",
drool,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
drowsiness,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0]",
somnolenz,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",
dupuytren kontraktur,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 2, 1, 1, 0, 3, 0, 3, 3, 0, 0, 0, 1, 0, 1]",
dysarthria,"[2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0]",
dyskinetisches syndrom,"[0, 0, 1, 2, 2, 0, 0, 1, 2, 0, 1, 0, 1, 2, 1, 0, 0, 1, 4, 1, 0, 0, 0, 0, 2, 0, 1]",
dysmenorrhoe,"[0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
dyspepsia,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0]",
dyspnea,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
dyspnoe,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
dysthymie,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0]",
dysuria,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",
ohrenschmerzen,"[0, 0, 1, 0, 3, 0, 0, 2, 0, 0, 0, 0, 1, 2, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0]",
ecchymoses,"[0, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0]",
ekchymosen,"[0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
echolalie,"[1, 0, 1, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
ekzem,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",
oedem,"[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
abmagerung,"[2, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",
embolie,"[0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
emphysem,"[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
enanthem,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
